benchmark_replicate,benchmark_in_set,benchmark_rank,benchmark_pvalue,set_size,decided_by_accepted_test,final_pvalue,n_dropped_replicates
274,0,6,0.000400,1,no,0.005900,0
275,0,94,0.000000,7,yes,0.102700,0
276,1,815,0.999300,439,yes,0.050000,0
277,0,963,0.000000,4,yes,0.062700,0
278,1,629,1.000000,826,yes,0.054300,0
279,0,11,0.037500,8,yes,0.051500,0
280,1,900,1.000000,642,yes,0.050300,0
281,1,1,1.000000,6,yes,0.220700,0
282,0,25,0.000000,1,no,0.022600,0
283,0,13,0.000000,1,no,0.031000,0
284,0,949,0.000000,28,yes,0.074400,0
285,1,939,1.000000,1000,yes,0.247400,0
286,1,1000,1.000000,577,yes,0.054600,0
287,0,101,0.000000,10,yes,0.082800,0
288,0,43,0.000000,2,yes,0.068300,0
289,0,929,0.000300,1,no,0.017900,0
290,0,282,0.000300,568,yes,0.058000,0
291,1,824,0.992900,333,yes,0.051800,0
292,0,1000,0.000000,8,yes,0.104200,0
293,0,925,0.007000,24,yes,0.053000,0
294,1,730,0.178000,554,yes,0.050500,0
295,1,968,0.991000,171,yes,0.051000,0
296,0,958,0.000000,3,yes,0.176700,0
297,1,64,1.000000,998,yes,0.054100,0
298,0,299,0.000400,13,yes,0.062300,0
299,0,42,0.000000,2,yes,0.067600,0
300,0,4,0.049700,3,yes,0.067400,0
301,0,41,0.000000,1,no,0.000000,0
302,0,901,0.000000,67,yes,0.062200,0
303,0,46,0.000000,4,yes,0.286100,0
304,1,987,0.378500,46,yes,0.068700,0
305,0,48,0.000000,1,no,0.001100,0
306,1,5,0.581400,8,yes,0.051400,0
307,0,41,0.000000,5,yes,0.347200,0
308,1,1,1.000000,5,yes,0.125500,0
309,1,972,0.977400,120,yes,0.051400,0
310,0,869,0.000000,87,yes,0.051900,0
311,0,963,0.008800,1,no,0.007100,0
312,1,997,0.664000,39,yes,0.071700,0
313,0,686,0.000000,1,no,0.000000,0
314,0,997,0.000000,1,no,0.027800,0
315,0,29,0.000000,1,no,0.001400,0
316,0,56,0.000000,15,yes,0.060700,0
317,1,988,0.443600,41,yes,0.062900,0
318,0,997,0.000000,1,no,0.045000,0
319,1,934,0.993700,168,yes,0.052000,0
320,0,906,0.000400,70,yes,0.051100,0
321,1,2,0.725700,7,yes,0.099500,0
322,0,911,0.000000,58,yes,0.052300,0
323,0,987,0.028700,1,no,0.021300,0
324,1,986,0.911300,102,yes,0.051000,0
325,0,967,0.000000,8,yes,0.054000,0
326,1,989,1.000000,675,yes,0.052700,0
327,1,982,0.833200,297,yes,0.053600,0
328,0,996,0.000000,4,yes,0.183200,0
329,1,968,1.000000,991,yes,0.052100,0
330,1,4,0.299900,4,yes,0.299900,0
331,0,998,0.000000,11,yes,0.067900,0
332,0,21,0.000000,6,yes,0.197700,0
333,1,1,1.000000,4,yes,0.159600,0
