benchmark_replicate,benchmark_in_set,benchmark_rank,benchmark_pvalue,set_size,decided_by_accepted_test,final_pvalue,n_dropped_replicates
325,1,1,1.000000,1,no,0.000000,0
326,1,1,1.000000,1,no,0.000200,0
327,0,2,0.000000,1,no,0.000000,0
328,1,1,1.000000,1,no,0.001600,0
329,1,1,1.000000,1,no,0.000000,0
330,1,1,1.000000,1,no,0.000000,0
331,1,1,1.000000,1,no,0.001200,0
332,1,1,1.000000,1,no,0.000000,0
333,1,1,1.000000,1,no,0.000000,0
334,1,1,1.000000,1,no,0.000000,0
335,1,1,1.000000,1,no,0.000000,0
336,0,4,0.000000,1,no,0.005700,0
337,0,2,0.012400,1,no,0.012400,0
338,1,1,1.000000,1,no,0.000000,0
339,1,1,1.000000,1,no,0.000000,0
340,1,1,1.000000,1,no,0.000000,0
341,0,15,0.000000,1,no,0.000000,0
342,0,5,0.000300,1,no,0.001800,0
343,1,1,1.000000,1,no,0.000500,0
344,1,1,1.000000,1,no,0.000000,0
345,1,1,1.000000,1,no,0.000000,0
346,0,3,0.000000,1,no,0.000000,0
347,1,1,1.000000,1,no,0.000000,0
348,1,2,0.054500,2,yes,0.054500,0
349,1,1,1.000000,1,no,0.000000,0
350,1,1,1.000000,1,no,0.000000,0
351,1,1,1.000000,1,no,0.000000,0
352,1,1,1.000000,1,no,0.000000,0
353,1,1,1.000000,1,no,0.000000,0
354,1,1,1.000000,1,no,0.000000,0
355,1,2,0.692500,2,yes,0.692500,0
356,1,1,1.000000,1,no,0.000000,0
357,1,1,1.000000,1,no,0.000000,0
358,1,1,1.000000,1,no,0.000000,0
359,1,1,1.000000,1,no,0.000000,0
360,1,2,0.433600,4,yes,0.075100,0
361,1,1,1.000000,1,no,0.000000,0
362,1,1,1.000000,1,no,0.000000,0
363,0,2,0.020600,1,no,0.020600,0
364,1,1,1.000000,1,no,0.000000,0
365,1,1,1.000000,1,no,0.000000,0
366,1,1,1.000000,1,no,0.023300,0
367,1,1,1.000000,2,yes,0.609700,0
368,0,2,0.006400,1,no,0.014800,0
369,1,1,1.000000,1,no,0.000000,0
370,1,1,1.000000,1,no,0.000000,0
371,1,1,1.000000,1,no,0.000000,0
372,1,1,1.000000,1,no,0.000000,0
373,1,1,1.000000,1,no,0.000000,0
374,0,2,0.008000,1,no,0.008000,0
375,1,1,1.000000,1,no,0.000000,0
376,0,5,0.000000,1,no,0.000000,0
377,1,2,0.736900,2,yes,0.736900,0
378,1,1,1.000000,1,no,0.000000,0
