benchmark_replicate,benchmark_in_set,benchmark_rank,benchmark_pvalue,set_size,decided_by_accepted_test,final_pvalue,n_dropped_replicates
108,-1,-1,nan,-1,skipped,nan,-1
109,-1,-1,nan,-1,skipped,nan,-1
110,-1,-1,nan,-1,skipped,nan,-1
111,-1,-1,nan,-1,skipped,nan,-1
112,-1,-1,nan,-1,skipped,nan,-1
113,0,367,0.000100,3,yes,0.274900,0
114,0,81,0.003000,9,yes,0.053700,0
115,0,90,0.000000,1,no,0.000000,0
116,0,448,0.000000,18,yes,0.054800,0
117,-1,-1,nan,-1,skipped,nan,-1
118,-1,-1,nan,-1,skipped,nan,-1
119,-1,-1,nan,-1,skipped,nan,-1
120,-1,-1,nan,-1,skipped,nan,-1
121,-1,-1,nan,-1,skipped,nan,-1
122,-1,-1,nan,-1,skipped,nan,-1
123,-1,-1,nan,-1,skipped,nan,-1
124,-1,-1,nan,-1,skipped,nan,-1
125,-1,-1,nan,-1,skipped,nan,-1
126,-1,-1,nan,-1,skipped,nan,-1
127,-1,-1,nan,-1,skipped,nan,-1
128,-1,-1,nan,-1,skipped,nan,-1
129,0,294,0.000000,2,yes,0.208300,0
130,0,241,0.000000,13,yes,0.051900,0
131,-1,-1,nan,-1,skipped,nan,-1
132,-1,-1,nan,-1,skipped,nan,-1
133,0,47,0.000000,5,yes,0.051400,0
134,-1,-1,nan,-1,skipped,nan,-1
135,-1,-1,nan,-1,skipped,nan,-1
136,0,705,0.000000,1,no,0.019800,0
137,-1,-1,nan,-1,skipped,nan,-1
138,-1,-1,nan,-1,skipped,nan,-1
139,0,33,0.000000,14,yes,0.063200,0
140,0,312,0.000000,7,yes,0.096100,0
141,-1,-1,nan,-1,skipped,nan,-1
142,0,54,0.000100,7,yes,0.086900,0
143,0,578,0.000000,2,yes,0.297000,0
144,-1,-1,nan,-1,skipped,nan,-1
145,-1,-1,nan,-1,skipped,nan,-1
146,-1,-1,nan,-1,skipped,nan,-1
147,-1,-1,nan,-1,skipped,nan,-1
148,-1,-1,nan,-1,skipped,nan,-1
149,-1,-1,nan,-1,skipped,nan,-1
150,-1,-1,nan,-1,skipped,nan,-1
151,-1,-1,nan,-1,skipped,nan,-1
152,-1,-1,nan,-1,skipped,nan,-1
153,0,396,0.000000,2,yes,0.186700,0
154,-1,-1,nan,-1,skipped,nan,-1
155,-1,-1,nan,-1,skipped,nan,-1
156,-1,-1,nan,-1,skipped,nan,-1
157,0,566,0.000900,132,yes,0.050200,0
158,0,123,0.000000,11,yes,0.106500,0
159,-1,-1,nan,-1,skipped,nan,-1
160,0,237,0.000000,2,yes,0.157200,0
161,1,12,0.162700,17,yes,0.067400,0
162,0,155,0.000000,16,yes,0.058300,0
163,-1,-1,nan,-1,skipped,nan,-1
164,-1,-1,nan,-1,skipped,nan,-1
165,-1,-1,nan,-1,skipped,nan,-1
166,-1,-1,nan,-1,skipped,nan,-1
167,0,57,0.000200,28,yes,0.107200,0
168,0,220,0.000000,1,no,0.021800,0
169,-1,-1,nan,-1,skipped,nan,-1
170,-1,-1,nan,-1,skipped,nan,-1
